Host ^nn++++=HOST-PARASITE
of ^in++++=of
normal ^jj+atrb+++=normal
parasitized ^jj+atrb++xvbn+=parasitized
hosts ^nns++++=hosts;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
Ha2 ^np+++??+=Ha2
of ^in++++=of
a ^at++++=a
learned ^jj+atrb++xvbn+=learned
preferential ^jj+atrb+++=preferential
selection ^nn+nom+++=selection
of ^in++++=of
host ^nn++++=host-nest
- ^zz++++=EXTRAWORD
nest ^nn++++=EXTRAWORD
by ^in++++=by
females ^nns++++=females.
. ^zz++++=EXTRAWORD
Payne ^np++++=Payne
and ^cc++++=and
his ^pp$+pp3+++=his
colleges ^npl++++=colleges
performed ^vwbn+++xvbn+=performed
the ^ati++++=the
experiment ^nn+nom+++=experiment
with ^in++++=with
Vidua ^np+++??+=Vidua
chalybeata ^nn+++??+=chalybeata,
, ^zz++++=EXTRAWORD
the ^ati++++=the
village ^nn+nom+++=village
indigobird ^nn+++??+=indigobird;
; ^zz++++=EXTRAWORD
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
normal ^jj+atrb+++=normal
host ^nn++++=host,
, ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj++++=red-billed
- ^zz++++=EXTRAWORD
billed ^jj+atrb++xvbn+=EXTRAWORD
firefinch ^nn+++??+=firefinch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
experimental ^jj+atrb+++=experimental
foster ^jjb+atrb+++=foster
species ^nn++++=species,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Bengalese ^np+nom++??+=Bengalese,
, ^zz++++=EXTRAWORD
finch ^np++++=finch
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
cross ^jj++++=cross-foster
- ^zz++++=EXTRAWORD
foster ^jjb+atrb+++=EXTRAWORD
experiments ^nns+nom+++=experiments
captive ^jj++++=captive-reared
- ^zz++++=EXTRAWORD
reared ^vbd+++xvbn+=EXTRAWORD
indigobirds ^nns+++??+=indigobirds
were ^vbd+bed+aux++=were
raised ^vpsv++by+xvbnx+=raised
by ^in++++=by
either ^dtx++++=either
the ^ati++++=the
Bengalese ^np+nom++??+=Bengalese
finch ^np++++=finch
or ^cc++++=or
the ^ati++++=the
red ^jj++++=red-billed
- ^zz++++=EXTRAWORD
billed ^jj+++xvbn+=EXTRAWORD
finch ^np++++=finch,
, ^zz++++=EXTRAWORD
as ^ql++++=as
adults ^nns++++=adults
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
for ^in++++=for
preferences ^nns+nom+++=preferences
in ^in++++=in
mate ^nn++++=mate
and ^cc++++=and
nest ^nn++++=nest
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
support ^nn++++=support
of ^in++++=of
their ^pp$+pp3+++=their
Ha2 ^np+++??+=Ha2,
, ^zz++++=EXTRAWORD
Payne ^np++++=Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2000)
2000 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
captive ^jj+atrb+++=captive
females ^nns++++=females
raised ^vwbn+++xvbn+=raised
by ^in++++=by
Bengalese ^np+nom++??+=Bengalese
finches ^nns+++??+=finches
both ^abx++++=both
respond ^vb++++=respond
to ^in++++=to
males ^nns++++=males
who ^whp+rel+subj++=who
sing ^vb++++=sing
the ^ati++++=the
Bengalese ^np+nom++??+=Bengalese
song ^nn++++=song
and ^cc++++=and
choose ^vb++++=choose
to ^to+vcmp+++=to
parasitize ^vbi++++=parasitize
the ^ati++++=the
nests ^nns++++=nests
of ^in++++=of
the ^ati++++=the
Bengalese ^np+nom++??+=Bengalese
finch ^np++++=finch,
, ^zz++++=EXTRAWORD
over ^in++++=over
those ^dt+dem+++=those
of ^in++++=of
their ^pp$+pp3+++=their
normal ^jj+atrb+++=normal
host ^nn++++=host.
. ^zz++++=EXTRAWORD
Implicit ^jj++++=Implicit
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
also ^rb++++=also
the ^ati++++=the
finding ^vb+++xvbg+=finding
that ^tht+vcmp+++=that
male ^jj+atrb+++=male
indigos ^nns+++??+=indigos
raised ^vwbn+++xvbn+=raised
by ^in++++=by
Bengalese ^np+nom++??+=Bengalese
parents ^nns++++=parents
produce ^vb++++=produce
the ^ati++++=the
calls ^nns++++=calls
of ^in++++=of
their ^pp$+pp3+++=their
heterospecific ^jj+atrb+++=heterospecific
parents ^nns++++=parents
( ^zz++++=(Payne
payne ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
1998 ^cd+date+++=1998).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
captives ^nns++++=captives
raised ^vwbn+++xvbn+=raised
by ^in++++=by
the ^ati++++=the
normal ^jj+atrb+++=normal
host ^nn++++=host
species ^nn++++=species
respond ^vb++++=respond
in ^in++++=in
predictable ^jj+atrb+++=predictable
manners ^nns+nom+++=manners:
: ^zz++++=EXTRAWORD
choosing ^vb+++xvbg+=choosing
to ^to+vcmp+++=to
mate ^vb++++=mate
with ^in++++=with
indigos ^nns+++??+=indigos
who ^whp+rel+subj++=who
produced ^vbd+++xvbn+=produced
a ^at++++=a
red ^jj++++=red-billed
- ^zz++++=EXTRAWORD
billed ^jj+++xvbn+=EXTRAWORD
finch ^np++++=finch
song ^nn++++=song
and ^cc++++=and
exploiting ^vbg+++xvbg+=exploiting
the ^ati++++=the
nests ^nns++++=nests
of ^in++++=of
these ^dt+dem+++=these
heterospecifics ^nns++++=heterospecifics.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
experimenters ^nns+nom+++=experimenters
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
later ^rbr+tm+++=later
exposure ^nn++++=exposure
to ^to++++=to
non ^&fw++++=non-parental
- ^zz++++=EXTRAWORD
parental ^jj+atrb+++=EXTRAWORD
type ^nn++++=type
songs ^nns++++=songs
had ^vb+hv+vrb++=had
no ^at++++=no
effect ^nn++++=effect
on ^in++++=on
mate ^nn++++=mate
choice ^nn++++=choice
or ^cc++++=or
nest ^vb++++=nest
chosen ^vbd+++xvbn+=chosen
for ^in++++=for
brood ^nn++++=brood
parasitism ^nn+nom+++=parasitism;
; ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
critical ^jj+atrb+++=critical
period ^nn++++=period
for ^in++++=for
song ^nn++++=song
acquisition ^nn+nom+++=acquisition
and ^cc++++=and
imprinting ^nvbg+++xvbg+=imprinting
sometime ^rb++++=sometime
before ^cs+sub+++=before
fledging ^xvbg+++xvbg+=fledging
this ^dt+dem+++=this
finding ^nvbg+++xvbg+=finding
is ^vbz+bez+vrb++=is
also ^rb++++=also
consistent ^jj+pred+++=consistent
with ^in++++=with
Payne ^np++++=Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1998).
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
compared ^xvbn+++xvbn+=compared
with ^in++++=with
other ^ap++++=other
brood ^nn++++=brood
parasitizing ^vwbg+++xvbg+=parasitizing
bird ^nn++++=bird
species ^nn++++=species,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
results ^nns++++=results
are ^vb+ber+vrb++=are
unique ^jj+pred+++=unique
to ^in++++=to
the ^ati++++=the
Vidua ^np+++??+=Vidua.
. ^zz++++=EXTRAWORD
Cowbirds ^np+++??+=Cowbirds,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
host ^nn++++=host
generalists ^nns+nom+++=generalists;
; ^zz++++=EXTRAWORD
both ^abx++++=both
genetic ^jj+atrb+++=genetic
and ^cc+phrs+++=and
behavioral ^jj+atrb+++=behavioral
evidence ^nn+nom+++=evidence
suggest ^vb+vpub+++=suggest
no ^at++++=no
pattern ^nn++++=pattern
of ^in++++=of
consistent ^jj+atrb+++=consistent
host ^nn++++=host
selection ^nn+nom+++=selection
( ^zz++++=(Payne
payne ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
some ^dti++++=some
evidence ^nn+nom+++=evidence
of ^in++++=of
host ^nn++++=host
specific ^jj+atrb+++=specific
preferences ^nns+nom+++=preferences
by ^in++++=by
females ^nns++++=females
in ^in++++=in
the ^ati++++=the
brood ^nn++++=brood
parasitic ^jj+atrb+++=parasitic
Cuckoo ^nn++++=Cuckoo
species ^nn++++=species
( ^zz++++=(Cuculus
cuculus ^nns+++??+=EXTRAWORD
spp. ^nn+++??+=spp.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
male ^jj+atrb+++=male
behaviors ^nns++++=behaviors
facilitate ^nn+nom+++=facilitate
large ^jj+atrb+++=large
quantities ^nns+nom+++=quantities
of ^in++++=of
gene ^np++++=gene
flow ^nn++++=flow
between ^in++++=between
the ^ati++++=the
female ^jj++++=female
' ^zz++++='types',
types ^nns++++=EXTRAWORD
', ^nn+++??+=EXTRAWORD
preventing ^vwbg+++xvbg+=preventing
the ^ati++++=the
evolution ^nn+nom+++=evolution
of ^in++++=of
host ^nn++++=host-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Male ^jj+atrb+++=Male
Cuckoos ^np+++??+=Cuckoos
will ^md+prd+++=will
mate ^vb++++=mate
with ^in++++=with
different ^jj+atrb+++=different
females ^nns++++=females
with ^in++++=with
different ^jj+atrb+++=different
host ^nn++++=host
preferences ^nns+nom+++=preferences
meaning ^vb+vprv++xvbg+=meaning
that ^tht+vcmp+++=that
any ^dti++++=any
possibility ^nn+nom+++=possibility
of ^in++++=of
speciation ^nn+nom+++=speciation
is ^vbz+bez+aux++=is
hindered ^vpsv++by+xvbnx+=hindered
by ^in++++=by
the ^ati++++=the
male ^jj+atrb+++=male
lineages ^nns+nom+++=lineages
( ^zz++++=(Payne
payne ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+pdem+++=that
indigobirds ^vbz+++??+=indigobirds
can ^md+pos+++=can
learn ^vb+vprv+++=learn
the ^ati++++=the
call ^nn++++=call
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
host ^nn++++=host
species ^nn++++=species
in ^in++++=in
captivity ^nn+nom+++=captivity,
, ^zz++++=EXTRAWORD
Payne ^np++++=Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2002,
2002 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005)
) ^zz++++=EXTRAWORD
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
recent ^jj+atrb+++=recent
demographic ^jj+atrb+++=demographic
changes ^nns++++=changes
may ^md+pos+++=may
have ^vb+hv+aux++=have
forced ^vprf+++xvbnx+=forced
a ^at++++=a
host ^nn++++=host
switch ^nn++++=switch
in ^in++++=in
at ^rb++++=at
least ^rb"++++=least
two ^cd++++=two
separate ^jj+atrb+++=separate
Vidua ^np+++??+=Vidua
species ^nn++++=species
( ^zz++++=(V.
v ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
chalybeata ^nn+++??+=chalybeata
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
V ^zz++++=V.
. ^zz++++=EXTRAWORD
camerunensis ^nns+++??+=camerunensis
( ^zz++++=(2005))
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
implying ^vbg+++xvbg+=implying
that ^tht+vcmp+++=that
this ^dt+dem+++=this
experimental ^jj+atrb+++=experimental
data ^nns++++=data
is ^vbz+bez+aux++=is
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
observational ^jj+atrb+++=observational
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
repercussions ^nns++++=repercussions
of ^in++++=of
these ^dt+dem+++=these
switches ^nns+++??+=switches
will ^md+prd+++=will
be ^vb+be+aux++=be
explored ^vpsv++agls+xvbnx+=explored
later ^rbr+tm+++=later;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
here ^rn+pl+++=here
that ^cs+sub+++=that
both ^abx++++=both
captive ^nn++++=captive
and ^cc++++=and
wild ^jj+atrb+++=wild
indigobirds ^nns+++??+=indigobirds
can ^md+pos+++=can
and ^cc++++=and
do ^vb+do+aux++=do
occasionally ^rb++splt++=occasionally
learn ^vb+vprv+++=learn
songs ^nns++++=songs
of ^in++++=of
a ^at++++=a
novel ^nn++++=novel
host ^nn++++=host.
. ^zz++++=EXTRAWORD
The ^ati++++=The
observation ^nn+nom+++=observation
that ^tht+ncmp+++=that
host ^nn++++=host
switching ^vwbg+++xvbg+=switching
does ^vbz+doz+aux++=does
occur ^vb++++=occur
in ^in++++=in
the ^ati++++=the
indigobird ^nn+++??+=indigobird
species ^nns++++=species
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^od++++=first
step ^vb++++=step
in ^in++++=in
showing ^vb+vprv++xvbg+=showing
that ^tht+vcmp+++=that
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
under ^in++++=under
the ^ati++++=the
correct ^jj+atrb+++=correct
ecological ^jj+atrb+++=ecological
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Beltman ^np+++??+=Beltman
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2003,
2003 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004)
) ^zz++++=EXTRAWORD
explore ^vb++++=explore
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
general ^jj+atrb+++=general
theoretical ^jj+atrb+++=theoretical
consequences ^nns+nom+++=consequences
that ^tht+rel+subj++=that
learning ^vbg+vprv++xvbg+=learning
can ^md+pos+++=can
have ^vb+hv+vrb++=have
on ^in++++=on
a ^at++++=a
speciation ^nn+nom+++=speciation
event ^nn++++=event.
. ^zz++++=EXTRAWORD
Arguments ^nns+nom+++=Arguments
against ^in++++=against
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
new ^jj+atrb+++=new
species ^nns++++=species
under ^in++++=under
sympatry ^nn++++=sympatry
often ^rb++++=often
question ^nn+nom+++=question
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
gene ^np++++=gene
flow ^nn++++=flow
that ^tht+rel+subj++=that
could ^md+pos+++=could
occur ^vb++++=occur
between ^in++++=between
two ^cd++++=two
recently ^rb+tm+++=recently
divergent ^jj+atrb+++=divergent
populations ^nns+nom+++=populations
and ^cc++++=and
the ^ati++++=the
ability ^nn+nom+++=ability
for ^in++++=for
a ^at++++=a
new ^jj+atrb+++=new
colonizing ^jj+atrb++xvbg+=colonizing
type ^nn++++=type
to ^to++++=to
find ^vbi+vprv+++=find
conspecific ^jj+atrb+++=conspecific
mates ^nns++++=mates
( ^zz++++=(White,
white ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1978 ^cd+date+++=1978;
; ^zz++++=EXTRAWORD
Coyne ^np+++??+=Coyne
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Beltman ^np+++??+=Beltman
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2004)
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
show ^vb+vprv+++=show
rather ^rb++++=rather
convincingly ^rb+cnj+++=convincingly,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
novel ^nn++++=novel
nature ^nn++++=nature
of ^in++++=of
this ^dt+dem+++=this
host ^nn++++=host-parasite
- ^zz++++=EXTRAWORD
parasite ^nn++++=EXTRAWORD
interaction ^nn+nom+++=interaction
where ^wrb+who+++=where
both ^abx++++=both
the ^ati++++=the
male ^jj++++=male
and ^cc++++=and
the ^ati++++=the
female ^jj++++=female
' ^zz++++='mutants'
mutants ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
will ^md+prd+++=will
assortatively ^rb++++=assortatively
mate ^nn++++=mate
can ^md+pos+++=can
facilitate ^nn+nom+++=facilitate
speciation ^nn+nom+++=speciation
via ^in++++=via
a ^at++++=a
cultural ^jj+atrb+++=cultural
trait ^nn++++=trait.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
suggest ^vb+vpub+tht0++=suggest
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
indigobirds ^vbz+++??+=indigobirds
have ^vb+hv+vrb++=have
low ^jj+atrb+++=low
error ^nn++++=error
rates ^nns++++=rates
in ^in++++=in
egg ^nn++++=egg
laying ^vwbg+++xvbg+=laying
( ^zz++++=(1%)
1 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
tendency ^nn++++=tendency
to ^to+ncmp+++=to
mate ^vb++++=mate
only ^rb+down+++=only
within ^in++++=within
your ^pp$+pp2+++=your
cultural ^jj+atrb+++=cultural
group ^nn++++=group
is ^vbz+bez+vrb++=is
so ^ql++++=so
great ^np++++=great
both ^abx++++=both
males ^nns++++=males
and ^cc++++=and
females ^nns++++=females
have ^vb+hv+vrb++=have
mechanisms ^nns+nom+++=mechanisms
of ^in++++=of
imprinting ^xvbg+++xvbg+=imprinting
initial ^jj+atrb+++=initial
assortative ^jj+atrb+++=assortative
mating ^nn++++=mating
based ^vwbn+++xvbn+=based
only ^rb+down+++=only
on ^in++++=on
learned ^vbd+vprv+tht0+xvbn+=learned
traits ^nns++++=traits
could ^md+pos+++=could
eventually ^rb+tm+++=eventually
lead ^nn++++=lead
to ^to++++=to
genetically ^rb++splt++=genetically
isolated ^vbi++++=isolated
species ^nns++++=species.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
mechanisms ^nns+nom+++=mechanisms
used ^vwbn+++xvbn+=used
by ^in++++=by
the ^ati++++=the
host ^nn++++=host
species ^nn++++=species
to ^to++++=to
counter ^vbi++++=counter
act ^vb+vpub+++=act
the ^ati++++=the
parasitism ^nn+nom+++=parasitism,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
force ^vb++++=force
genetic ^jj+atrb+++=genetic
changes ^nns++++=changes
that ^tht+rel+subj++=that
will ^md+prd+++=will
later ^rbr+tm+splt++=later
make ^vb++++=make
possible ^jj++++=possible
a ^at++++=a
genetically ^rb++++=genetically
based ^xvbn+++xvbn+=based
form ^nn++++=form
of ^in++++=of
isolation ^nn+nom+++=isolation
( ^zz++++=(Beltman
beltman ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
caution ^nn+nom+++=caution
that ^tht+rel+obj++=that
the ^ati++++=the
balance ^nn+nom+++=balance
between ^in++++=between
low ^jj+atrb+++=low
error ^nn++++=error
rates ^nns++++=rates
and ^cc++++=and
finding ^nvbg+++xvbg+=finding
a ^at++++=a
conspecific ^jj+atrb+++=conspecific
mate ^nn++++=mate
create ^vb++++=create
many ^ap++++=many
difficulties ^nns++++=difficulties;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
colonization ^nn+nom+++=colonization
does ^vbz+doz+aux++=does
occur ^vb++++=occur
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
finding ^xvbg+++xvbg+=finding
a ^at++++=a
mate ^nn++++=mate
that ^tht+rel+subj++=that
knows ^vbz+vprv+++=knows
the ^ati++++=the
same ^ap++++=same
song ^nn++++=song
as ^ql++++=as
you ^pp2+pp2+++=you
may ^md+pos+++=may
be ^vb+be+vrb++=be
too ^ql++++=too
high ^np++++=high
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
colonization ^nn+nom+++=colonization
viable ^jj++++=viable.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
assume ^vb+vprv+++=assume
that ^tht+vcmp+++=that
many ^ap++++=many
colonization ^nn+nom+++=colonization
events ^nns++++=events
probably ^rb++++=probably
occurred ^vprf+++xvbn+=occurred
only ^rb+down+++=only
to ^to++++=to
fail ^vbi++++=fail
many ^ap++++=many
times ^nns++++=times
in ^in++++=in
the ^ati++++=the
indigobird ^nn+++??+=indigobird
species ^nns++++=species
before ^cs+sub+++=before
being ^xvbg+++xvbg+=being
successful ^jj++++=successful
( ^zz++++=(Beltman
beltman ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Conclusively ^np+++??+=Conclusively
showing ^vb+vprv++xvbg+=showing
that ^tht+vcmp+++=that
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
diversification ^nn+nom+++=diversification
in ^in++++=in
indigos ^nns+++??+=indigos
is ^vbz+bez+vrb++=is
due ^jj+pred+++=due
only ^rb+down+++=only
to ^in++++=to
a ^at++++=a
learned ^jj+atrb++xvbn+=learned
song ^nn++++=song
was ^vbd+bedz+vrb++=was
beyond ^in++++=beyond
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
their ^pp$+pp3+++=their
paper ^nn++++=paper;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
theoretical ^jj+atrb+++=theoretical
work ^nn++++=work
only ^rb+down+++=only
supports ^vbz++++=supports
the ^ati++++=the
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence.
. ^zz++++=EXTRAWORD
Evidence ^nn+nom+++=Evidence
for ^in++++=for
Divergence ^nn+nom+++=Divergence
in ^in++++=in
Sympatry ^np+++??+=Sympatry:
: ^zz++++=EXTRAWORD
Theoretical ^jj++++=Theoretical,
, ^zz++++=EXTRAWORD
verbal ^jj++++=verbal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mathematical ^jj+atrb+++=mathematical
models ^nns++++=models
can ^md+pos+++=can
only ^rb+down+splt++=only
go ^vb++++=go
so ^rb++++=so
far ^rb+pl+++=far
descriptive ^jj+atrb+++=descriptive
and ^cc+phrs+++=and
exhaustive ^jj+atrb+++=exhaustive
field ^nn++++=field
research ^nn++++=research
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
in ^in++++=in
showing ^xvbg+++xvbg+=showing
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
actually ^rb+amp+splt++=actually
happening ^vbg+++xvbgx+=happening.
. ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
end ^nn++++=end,
, ^zz++++=EXTRAWORD
Sorenson ^np+++??+=Sorenson
and ^cc++++=and
Payne ^np++++=Payne
have ^vb+hv+aux++=have
devoted ^vprf+++xvbnx+=devoted
a ^at++++=a
large ^jj+atrb+++=large
portion ^nn+nom+++=portion
of ^in++++=of
their ^pp$+pp3+++=their
fieldwork ^nn+++??+=fieldwork
to ^in++++=to
genetics ^nns++++=genetics
( ^zz++++=(Sorenson
sorenson ^nn+++??+=EXTRAWORD
& ^zz++++=&
Payne ^np++++=Payne,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Sorenson ^np+++??+=Sorenson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
research ^nn++++=research
efforts ^nns++++=efforts
have ^vb+hv+aux++=have
focused ^vprf+++xvbnx+=focused
on ^in++++=on
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
an ^at++++=an
accurate ^nn++++=accurate
phylogeny ^vb+++??+=phylogeny
based ^vbd+++xvbn+=based
upon ^in++++=upon
genetic ^jj+atrb+++=genetic
data ^nns++++=data
obvious ^jj+atrb+++=obvious
arguments ^nns+nom+++=arguments
against ^in++++=against
this ^dt+dem+++=this
methodology ^nn++++=methodology
and ^cc++++=and
its ^pp$+it+++=its
application ^nn+nom+++=application
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++by+xvbnx+=raised
by ^in++++=by
many ^ap++++=many
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
conclusions ^nns++++=conclusions
seem ^vb+seem+++=seem
valid ^jj++++=valid
( ^zz++++=(Sorenson
sorenson ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Sefc ^np+++??+=Sefc
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
any ^dti++++=any
case ^nn++++=case,
, ^zz++++=EXTRAWORD
the ^ati++++=the
many ^ap++++=many
academic ^jj+atrb+++=academic
problems ^nns++++=problems
raised ^vwbn+++xvbn+=raised
by ^in++++=by
this ^dt+dem+++=this
method ^nn++++=method
will ^md+prd+++=will
be ^vb+be+aux++=be
discussed ^vpsv++agls+xvbnx+=discussed
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
To ^in++++=To
best ^jjt++++=best
